Group,Brewery,City,State,Brewery_id,Name,Beer_ID,ABV,IBU,Style,Ounces
IPA,Cheboygan Brewing Company,Cheboygan,MI,122,IPA #11,2380,0.057,58,American IPA,16
IPA,Griffin Claw Brewing Company,Birmingham,MI,125,Norm's Gateway IPA,2007,0.04,55,American IPA,12
IPA,Karbach Brewing Company,Houston,TX,126,Rodeo Clown Double IPA,666,0.095,85,American Double / Imperial IPA,12
IPA,Karbach Brewing Company,Houston,TX,126,Hopadillo India Pale Ale,463,0.066,70,American IPA,12
IPA,Uncle Billy's Brewery and Smokeh...,Austin,TX,127,The Green Room,2372,0.06,75,American IPA,16
IPA,Deep Ellum Brewing Company,Dallas,TX,128,Dream Crusher Double IPA,2166,0.085,100,American Double / Imperial IPA,12
IPA,Deep Ellum Brewing Company,Dallas,TX,128,Deep Ellum IPA,943,0.07,70,American IPA,12
IPA,Stevens Point Brewery,Stevens Point,WI,132,Beyond The Pale IPA,2150,0.063,64,American IPA,12
IPA,Weston Brewing Company,Weston,MO,133,O’Malley’s IPA,2343,0.075,89,American IPA,12
IPA,Southern Prohibition Brewing Com...,Hattiesburg,MS,134,2014 IPA Cicada Series,2362,0.075,72,American IPA,16
IPA,Southern Prohibition Brewing Com...,Hattiesburg,MS,134,Sinister Minister Black IPA,2346,0.077,65,American IPA,16
IPA,Cigar City Brewing Company,Tampa,FL,142,Operation Homefront,2014,0.062,65,American IPA,12
IPA,Cigar City Brewing Company,Tampa,FL,142,Hopped on the High Seas (Hop #529),1726,0.07,60,American IPA,12
IPA,Cigar City Brewing Company,Tampa,FL,142,Hopped on the High Seas (Calypso),1725,0.07,60,American IPA,12
IPA,Cigar City Brewing Company,Tampa,FL,142,Dry-Hopped On The High Seas Caribbean-Style IPA,1694,0.07,60,American IPA,12
IPA,Cigar City Brewing Company,Tampa,FL,142,Hopped on the High Seas (Citra),1693,0.07,60,American IPA,12
IPA,Cigar City Brewing Company,Tampa,FL,142,Hopped on the High Seas (Ahtanum),1692,0.07,60,American IPA,12
IPA,Cigar City Brewing Company,Tampa,FL,142,Humidor Series India Pale Ale,1142,0.075,70,American IPA,12
IPA,Cigar City Brewing Company,Tampa,FL,142,Jai Alai IPA Aged on White Oak,1141,0.075,70,American IPA,12
IPA,Cigar City Brewing Company,Tampa,FL,142,Jai Alai IPA,546,0.075,70,American IPA,12
IPA,Oakshire Brewing,Eugene,OR,151,Watershed IPA,2331,0.067,70,American IPA,12
IPA,Oakshire Brewing,Eugene,OR,151,Watershed IPA (2013),999,0.067,70,American IPA,12
IPA,Tin Roof Brewing Company,Baton Rouge,LA,153,Juke Joint IPA,1755,0.07,60,American IPA,12
IPA,Three Creeks Brewing,Sisters,OR,154,Hoodoo Voodoo IPA,2316,0.062,82,American IPA,12
IPA,Caldera Brewing Company,Ashland,OR,156,Hopportunity Knocks IPA,2315,0.068,100,American IPA,12
IPA,Caldera Brewing Company,Ashland,OR,156,Caldera IPA (2009),793,0.061,94,American IPA,12
IPA,Caldera Brewing Company,Ashland,OR,156,Caldera IPA (2007),792,0.061,94,American IPA,12
IPA,Caldera Brewing Company,Ashland,OR,156,Caldera IPA,36,0.061,94,American IPA,12
IPA,Phoenix Ale Brewery,Phoenix,AZ,158,Camelback,2312,0.061,60,American IPA,12
IPA,Uinta Brewing Company,Salt Lake City,UT,160,Trader Session IPA,1925,0.04,42,American IPA,12
IPA,Uinta Brewing Company,Salt Lake City,UT,160,Hop Nosh IPA,1723,0.073,83,American IPA,12
IPA,Uinta Brewing Company,Salt Lake City,UT,160,Hop Notch IPA (2013),1089,0.073,82,American IPA,12
IPA,Four Peaks Brewing Company,Tempe,AZ,161,Hop Knot IPA,358,0.067,47,American IPA,12
IPA,Sly Fox Brewing Company,Phoenixville,PA,164,Homefront IPA,2305,0.06,70,American IPA,12
IPA,Great Crescent Brewery,Aurora,IN,166,Great Crescent IPA,1701,0.062,60,American IPA,16
IPA,Great Crescent Brewery,Aurora,IN,166,Great Crescent IPA (2011),436,0.062,60,American IPA,16
IPA,Oskar Blues Brewery,Longmont,CO,167,Pinner Throwback IPA,2302,0.049,35,American IPA,12
IPA,Oskar Blues Brewery,Longmont,CO,167,Gordon Imperial Red (2010),806,0.087,85,American Double / Imperial IPA,12
IPA,Oskar Blues Brewery,Longmont,CO,167,G'KNIGHT (16 oz.),726,0.087,85,American Double / Imperial IPA,16
IPA,Oskar Blues Brewery,Longmont,CO,167,One Hit Wonder,391,0.09,60,American Double / Imperial IPA,12
IPA,Oskar Blues Brewery,Longmont,CO,167,G'KNIGHT (12 oz.),388,0.087,85,American Double / Imperial IPA,12
IPA,Oskar Blues Brewery,Longmont,CO,167,GUBNA Imperial IPA,6,0.099,100,American Double / Imperial IPA,12
IPA,Oskar Blues Brewery,Longmont,CO,167,Gordon Ale (2009),4,0.087,85,American Double / Imperial IPA,12
IPA,Everybody's Brewing,White Salmon,WA,171,Little Sister India Style Session Ale,2292,0.043,60,American IPA,12
IPA,Everybody's Brewing,White Salmon,WA,171,Country Boy IPA,1504,0.062,80,American IPA,12
IPA,Anderson Valley Brewing Company,Boonville,CA,172,Hop Ottin' IPA,1327,0.07,80,American IPA,12
IPA,Anderson Valley Brewing Company,Boonville,CA,172,Hop Ottin' IPA (2011),367,0.07,80,American IPA,12
IPA,Fiddlehead Brewing Company,Shelburne,VT,173,Second Fiddle,1929,0.082,80,American Double / Imperial IPA,16
IPA,Frog Level Brewing Company,Waynesville,NC,181,Salamander Slam,2254,0.07,73,American IPA,16
IPA,COOP Ale Works,Oklahoma City,OK,183,F5 IPA,1442,0.068,100,American IPA,16
IPA,Seventh Son Brewing Company,Columbus,OH,184,Golden Ratio IPA,1765,0.07,68,American IPA,16
IPA,Mother's Brewing,Springfield,MO,189,Lil' Helper,2208,0.07,70,American IPA,12
IPA,Two Beers Brewing Company,Seattle,WA,191,Day Hike Session,2235,0.041,41,American IPA,12
IPA,Two Beers Brewing Company,Seattle,WA,191,Trailhead ISA,1661,0.048,48,American IPA,12
IPA,Two Beers Brewing Company,Seattle,WA,191,Evo IPA,1659,0.062,70,American IPA,12
IPA,Two Beers Brewing Company,Seattle,WA,191,Evolutionary IPA (2012),1173,0.062,70,American IPA,12
IPA,Two Beers Brewing Company,Seattle,WA,191,Evolutionary IPA (2011),505,0.062,70,American IPA,12
IPA,Two Beers Brewing Company,Seattle,WA,191,Trailhead India Style Session Ale (2011),482,0.048,48,American IPA,12
IPA,Snake River Brewing Company,Jackson,WY,192,Pako’s EyePA,393,0.068,60,American IPA,12
IPA,Capital Brewery,Middleton,WI,193,Ghost Ship White IPA,1954,0.056,55,American IPA,12
IPA,Capital Brewery,Middleton,WI,193,Mutiny IPA,1177,0.062,70,American IPA,12
IPA,Goose Island Brewery Company,Chicago,IL,197,Goose Island India Pale Ale,2198,0.059,55,American IPA,12
IPA,Hop Valley Brewing Company,Springfield,OR,199,Proxima IPA,1543,0.063,70,American IPA,12
IPA,Hop Valley Brewing Company,Springfield,OR,199,Alphadelic IPA,1353,0.065,90,American IPA,12
IPA,Hop Valley Brewing Company,Springfield,OR,199,Alphadelic IPA (2011),499,0.065,90,American IPA,12
IPA,Worthy Brewing Company,Bend,OR,200,Worthy IPA,2194,0.069,69,American IPA,12
IPA,Worthy Brewing Company,Bend,OR,200,Lights Out Vanilla Cream Extra Stout,1513,0.077,30,American Double / Imperial IPA,12
IPA,Worthy Brewing Company,Bend,OR,200,Worthy IPA (2013),1512,0.069,69,American IPA,12
IPA,Upland Brewing Company,Bloomington,IN,203,Campside Session IPA,2190,0.045,50,American IPA,16
IPA,Mehana Brewing Co.,Hilo,HI,204,Tsunami IPA,2186,0.072,75,American IPA,19.2
IPA,Mehana Brewing Co.,Hilo,HI,204,Tsunami IPA,2185,0.072,75,American IPA,12
IPA,People's Brewing Company,Lafayette,IN,206,Mound Builder IPA,2175,0.065,77,American IPA,12
IPA,People's Brewing Company,Lafayette,IN,206,Amazon Princess IPA,2168,0.062,62,American IPA,12
IPA,Fort George Brewery,Astoria,OR,207,Vortex IPA,318,0.074,97,American IPA,16
IPA,Modern Times Beer,San Diego,CA,210,City of the Sun,2159,0.075,85,American IPA,16
IPA,Modern Times Beer,San Diego,CA,210,Booming Rollers,2157,0.068,75,American IPA,16
IPA,Wisconsin Brewing Company,Verona,WI,212,#002 American I.P.A.,2148,0.071,60,American IPA,12
IPA,Wisconsin Brewing Company,Verona,WI,212,#004 Session I.P.A.,2146,0.048,38,American IPA,12
IPA,Buffalo Bayou Brewing Company,Houston,TX,215,More Cowbell,2123,0.09,118,American Double / Imperial IPA,16
IPA,Texian Brewing Co.,Richmond,TX,216,Brutus,2116,0.071,69,English India Pale Ale (IPA),12
IPA,Forgotten Boardwalk,Cherry Hill,NJ,218,1916 Shore Shiver,2110,0.069,65,American IPA,12
IPA,Laughing Dog Brewing Company,Ponderay,ID,219,Laughing Dog IPA,1396,0.064,66,American IPA,12
IPA,Bozeman Brewing Company,Bozeman,MT,220,Bozone HopZone IPA,1289,0.07,80,American IPA,12
IPA,Big Choice Brewing,Broomfield,CO,221,Hemlock Double IPA,1762,0.095,104,American Double / Imperial IPA,12
IPA,Big Storm Brewing Company,Odessa,FL,222,Arcus IPA,2096,0.069,81,American IPA,12
IPA,Carton Brewing Company,Atlantic Highlands,NJ,223,077XX,1940,0.078,80,American Double / Imperial IPA,16
IPA,Carton Brewing Company,Atlantic Highlands,NJ,223,Boat Beer,1439,0.042,35,American IPA,12
IPA,Midnight Sun Brewing Company,Anchorage,AK,224,Pleasure Town,2093,0.063,61,American IPA,12
IPA,Midnight Sun Brewing Company,Anchorage,AK,224,Pleasure Town IPA,1814,0.063,61,American IPA,12
IPA,Midnight Sun Brewing Company,Anchorage,AK,224,Sockeye Red IPA,434,0.057,70,American IPA,12
IPA,Fat Head's Brewery,Middleburg Heights,OH,225,Hop Stalker Fresh Hop IPA,2088,0.07,80,American IPA,16
IPA,DC Brau Brewing Company,Washington,DC,228,On the Wings of Armageddon,851,0.092,115,American Double / Imperial IPA,12
IPA,DC Brau Brewing Company,Washington,DC,228,The Corruption,186,0.065,80,American IPA,12
IPA,Geneva Lake Brewing Company,Lake Geneva,WI,229,No Wake IPA,2077,0.072,50,American IPA,12
IPA,Cape Ann Brewing Company,Gloucester,MA,231,Dead-Eye DIPA,2067,0.09,130,American Double / Imperial IPA,16
IPA,Cape Ann Brewing Company,Gloucester,MA,231,Fisherman's IPA,2066,0.055,64,American IPA,12
IPA,Joseph James Brewing Company,Henderson,NV,234,Hop Box Imperial IPA,468,0.093,90,American Double / Imperial IPA,12
IPA,Harpoon Brewery,Boston,MA,235,The Long Thaw White IPA,1653,0.062,45,American White IPA,12
IPA,Harpoon Brewery,Boston,MA,235,Harpoon IPA,1379,0.059,42,American IPA,12
IPA,Harpoon Brewery,Boston,MA,235,Harpoon IPA (2012),770,0.059,42,American IPA,12
IPA,Harpoon Brewery,Boston,MA,235,Harpoon IPA (2010),126,0.059,42,American IPA,12
IPA,Champion Brewing Company,Charlottesville,VA,237,Missile IPA,1933,0.07,65,American IPA,12
IPA,Wiseacre Brewing Company,Memphis,TN,240,Ananda India Pale Ale,1470,0.062,61,American IPA,12
IPA,Golden Road Brewing,Los Angeles,CA,241,2020 IPA,1777,0.074,74,American IPA,16
IPA,Golden Road Brewing,Los Angeles,CA,241,Wolf Among Weeds IPA,1698,0.08,70,American IPA,16
IPA,Golden Road Brewing,Los Angeles,CA,241,Better Weather IPA,1641,0.094,92,American IPA,16
IPA,Golden Road Brewing,Los Angeles,CA,241,Point the Way IPA,1490,0.059,60,American IPA,16
IPA,Golden Road Brewing,Los Angeles,CA,241,Heal the Bay IPA,1399,0.068,65,American IPA,16
IPA,Golden Road Brewing,Los Angeles,CA,241,Point the Way IPA,1296,0.059,60,American IPA,12
IPA,Golden Road Brewing,Los Angeles,CA,241,Burning Bush Smoked IPA,750,0.08,70,American IPA,16
IPA,Golden Road Brewing,Los Angeles,CA,241,Wolf Among Weeds IPA (2012),749,0.08,70,American IPA,16
IPA,Golden Road Brewing,Los Angeles,CA,241,Point the Way IPA (2012),549,0.059,60,American IPA,16
IPA,Infamous Brewing Company,Austin,TX,243,Infamous IPA,2038,0.07,75,American IPA,12
IPA,Creature Comforts,Athens,GA,248,Tropicalia,2029,0.065,65,American IPA,12
IPA,Half Full Brewery,Stamford,CT,249,Pursuit,2026,0.07,40,American IPA,12
IPA,Barrio Brewing Company,Tucson,AZ,252,Barrio Blanco,2005,0.06,60,American IPA,12
IPA,Santa Cruz Mountain Brewing,Santa Cruz,CA,253,Giant DIPA,2002,0.089,88,American Double / Imperial IPA,16
IPA,Frankenmuth Brewery,Frankenmuth,MI,254,Batch 69 IPA,1556,0.069,69,American IPA,12
IPA,South Austin Brewery,South Austin,TX,258,Texas Pale Ale (TPA),1971,0.055,40,American IPA,16
IPA,Bauhaus Brew Labs,Minneapolis,MN,259,Sky-Five,1965,0.067,70,American IPA,12
IPA,Ska Brewing Company,Durango,CO,265,Modus Hoperandi,1521,0.068,65,American IPA,12
IPA,Ska Brewing Company,Durango,CO,265,Modus Hoperandi,67,0.068,65,American IPA,12
IPA,Tractor Brewing Company,Albuquerque,NM,266,Almanac IPA,1938,0.062,72,American IPA,12
IPA,Long Trail Brewing Company,Bridgewater Corners,VT,269,Long Trail IPA,1926,0.059,42,English India Pale Ale (IPA),12
IPA,The Alchemist,Waterbury,VT,273,Heady Topper,1111,0.08,120,American Double / Imperial IPA,16
IPA,The Alchemist,Waterbury,VT,273,Heady Topper,379,0.08,120,American Double / Imperial IPA,16
IPA,Three Notch'd Brewing Company,Charlottesville,VA,274,40 Mile IPA,1912,0.06,50,American IPA,12
IPA,Otter Creek Brewing,Middlebury,VT,276,Fresh Slice White IPA,1908,0.055,45,American White IPA,12
IPA,Indeed Brewing Company,Minneapolis,MN,278,Let It Ride IPA,1903,0.068,90,American IPA,12
IPA,Berkshire Brewing Company,South Deerfield,MA,279,Lost Sailor IPA,1900,0.055,40,English India Pale Ale (IPA),12
IPA,Headlands Brewing Company,Mill Valley,CA,281,Groupe G,1895,0.076,65,Belgian IPA,16
IPA,Headlands Brewing Company,Mill Valley,CA,281,Hill 88 Double IPA,1893,0.088,77,American Double / Imperial IPA,16
IPA,Bolero Snort Brewery,Ridgefield Park,NJ,282,Longhop IPA,1891,0.042,30,American IPA,16
IPA,Defiance Brewing Company,Hays,KS,284,Thrasher Session India Pale Ale,1886,0.045,44,American IPA,12
IPA,Milwaukee Brewing Company,Milwaukee,WI,285,Hop Freak,1884,0.087,80,American Double / Imperial IPA,16
IPA,Milwaukee Brewing Company,Milwaukee,WI,285,Hop Happy,1080,0.075,51,American IPA,16
